episode,total_charged_prop,avg_mcs_reward,avg_iev_reward,avg_wait_time,avg_extra_dist,total_profit,avg_idle_time,energy_efficiency,mcs_epsilon,iev_epsilon,avg_decide_ms,mcs_learn_updates,iev_learn_updates,mcs_replay_size,iev_replay_size,avg_transitions_per_step,avg_gnn_encode_ms_per_step,avg_dqn_train_ms_per_step
0,0.5991189427312775,1.6828416389247007,0.061920894690725634,1.7279411764705883,0.5478057311788895,4459.762120658071,357.75,0.959895647258561,0.2,0.2,5.799326999876939,0,0,1430,99,15.29,281.7763419999392,0.0013669999680132605
1,0.5920398009950248,6.626063397505978,0.04815412813483063,1.7647058823529411,0.5435707106642811,3795.4868922156156,377.25,0.9530548300528291,0.1955,0.1955,6.543754999947851,0,0,2939,198,16.08,342.81435099997907,0.00136399976327084
2,0.5545454545454546,-1.7953484916003695,0.07948257680439572,2.418032786885246,1.0083594066790063,4012.785267203429,368.25,0.9526015345317794,0.191,0.191,6.4800700001069345,0,0,4411,320,15.94,313.55779600009555,0.001390999968862161
3,0.6431924882629108,9.378125666919427,0.06391625439970355,1.6788321167883211,0.7270687979386252,4698.029804207943,352.25,0.961453144367135,0.1865,0.1865,6.357386000017868,0,0,5820,414,15.03,308.7897920000614,0.0014159998318064027
4,0.6465116279069767,0.024463890303962545,0.0810120969395558,1.9784172661870503,0.729660852246873,4576.096692100725,355.0,0.9613302411324279,0.182,0.182,6.417855999934545,1,1,7237,503,15.06,321.0136510000666,3.404979999686475
5,0.6995305164319249,8.79671606094843,0.07015861716996571,1.778523489932886,0.7493125684942828,5195.31215898266,338.25,0.9639457453818249,0.17750000000000002,0.17750000000000002,5.5119050000212155,100,100,8578,603,14.41,306.94065999992745,34.246191999845905
6,0.6888888888888889,11.644815227854043,0.1118729615792816,2.7419354838709675,0.8178935290581548,5422.263266263539,333.5,0.9639387336634686,0.17300000000000001,0.17300000000000001,5.371573999982502,100,100,9912,728,14.59,285.2760829996623,33.616984999935084
7,0.6744186046511628,21.417458810434688,0.07005923517127267,1.7586206896551724,0.5913999581041451,5079.672727887884,341.0,0.9622621184156976,0.1685,0.1685,5.728948000105447,100,100,11276,863,14.99,319.10331700019015,33.32276199998887
8,0.7037037037037037,16.050266705922432,0.09582824525873854,2.1637426900584797,0.7770104246664088,5906.652635785897,318.75,0.9696887883571733,0.164,0.164,5.537310999898182,100,100,12551,1022,14.34,282.05211100004817,32.785818000011204
9,0.6266094420600858,14.299659020221451,0.08535357081658512,2.2260273972602738,0.899643551670087,5030.624134243297,344.5,0.9615804476170002,0.1595,0.1595,5.709186000094633,100,100,13929,1143,14.99,320.96280000008846,33.217089000099804
10,0.6860986547085202,11.088062201647016,0.08901825663698001,2.0588235294117645,0.7003553323068286,5013.827464935631,340.0,0.9643192413752685,0.155,0.155,5.552788999993936,100,100,15289,1238,14.55,298.55817500010744,33.39003999990382
11,0.7079646017699115,22.086030892667644,0.10602150126439723,2.21875,0.8164324647033695,5344.210233787623,333.0,0.9633160311937662,0.1505,0.1505,5.599504999991041,100,100,16609,1361,14.43,314.11706400002004,34.46276699993177
12,0.7725118483412322,20.44449776343047,0.12609775314754262,2.791411042944785,0.8838427519630415,5635.26784210019,324.5,0.9657324890112818,0.14600000000000002,0.14600000000000002,5.584399999934249,100,100,17888,1487,14.05,299.7644190002029,33.272070999883
13,0.7014925373134329,13.760268899550073,0.058311746354049517,1.524822695035461,0.40037014028034246,4700.095294466977,350.5,0.9569380550438851,0.14150000000000001,0.14150000000000001,5.677758999772777,100,100,19282,1570,14.77,319.81171199997334,33.74164799992286
